,Index,Name,review,preprocessed_review,label
44,44,Amazon Customer,"This is the second time I am buying an iPhone from Amazon. Received the phone in good condition. Used for half an hour and the phone downloaded 15.4.1 update and started rebooting. But it never rebooted instead stuck in boot loop. I contacted Amazon they suggested to visit apple service Center. Apple products don�t come with replacement, if anything goes bad you have to visit apple care. I visited apple care which is at 70km from my place and they took my phone for service. After three days they provided a new iPhone with replacement letter containing old to new serial no and imei no. So everything ended happily. If your place is very far from apple care then you will be in trouble in such situations.",second time buying iphone amazon received phone good condition used half hour phone downloaded 1541 update started rebooting never rebooted instead stuck boot loop contacted amazon suggested visit apple service center apple product dont come replacement anything go bad visit apple care visited apple care 70km place took phone service three day provided new iphone replacement letter containing old new serial imei everything ended happily place far apple care trouble situation,1
45,45,Amazon Customer,I like the colour,like colour,1
46,46,Amazon Customer,"worst packaging, Packaged iphone in plastic bag and shipped from Hariyana to Gujarat
overall Product is good",worst packaging packaged iphone plastic bag shipped hariyana gujarat overall product good,-1
47,47,Gaurav,"Good things
1. Camera as always amazing ( cinematic vedio is wow).
2. Battery performance has improved tremendously
3. No lags
4. Size is good , good for watching movies.
5. Look is above average.

Not good
1. Charger not available ( whatever logic company gives , it should be available, one have a buy ) , people buying iPhone can buy the charger additionally but that doesn't mean they will be excluded ??",good thing 1 camera always amazing cinematic vedio wow 2 battery performance improved tremendously 3 lag 4 size good good watching movie 5 look average good 1 charger available whatever logic company give available one buy people buying iphone buy charger additionally doesnt mean excluded,1
48,48,Sachin sharma,Overall a good quality product and best service from Amazon really appreciate,overall good quality product best service amazon really appreciate,1
49,49,Saikumar,13??,13,0
50,50,SIMONKISKOO,First time upgraded to iphone nd it's worth it.??,first time upgraded iphone nd worth,1
51,51,Dr (Maj) Vishal Sahai,"LITTLE DOUBTFUL EARLIER SINCE IT IS FOR THE FIRST TIME I HAVE PURCHASE ANYTHING OF THIS HEFTY AMOUNT OF MONEY THROUGH AMAZON , BUT NOW 100% SATISFIED, I THANK AMAZON AND APPLE FOR KEEPING THIS CONFIDENCE AND TRUST....GOT BEST DEAL THRU AMAZON - IN MARKET IT IS APPROX 7000/- COSTLIER....ALSO RECEIVED INVOICE BILL AND PACKING SLIP ALONG WITH IT. NOW JUST WANTED TO VISIT APPLE SERVICE CENTER FOR FURTHER REGISTRATION AND WARRANTY CONFIRMATION.",little doubtful earlier since first time purchase anything hefty amount money amazon 100 satisfied thank amazon apple keeping confidence trustgot best deal thru amazon market approx 7000 costlieralso received invoice bill packing slip along wanted visit apple service center registration warranty confirmation,1
52,52,Anil Sharma,"tl;dr:
If you can spend more money and want a better camera go with Pro or ProMax
If you like the Apple EcoSystem you can get this else stick to Android

Pros :
1. Good Display / Brightness (Supports Dark mode and You can control White Tone which is nice). It has 60Hz refresh rate but you won't feel the difference imho
2. Good Battery Life (iPhone 13 Series has good battery life but ensure you have a supported charger) I use my MacBook's charger which charges the phone pretty quickly.
3. Best Privacy Control
4. Camera in Portrait Mode and Selfie Camera (LiveText Detection is a nice feature)
5. Fast Processor / RAM management is good
6. Great Resale value / Apple Support

Cons:

1. Screen size (6.1"" which is less in this price segment)
2. Optical Zoom in 13 is not great (If you want a camera phone go with Pro or Pro Max or Android alternative)
3. Third Party App Size is Huge (Gmail is 300MB / YouTube 250 MB). No native app lock option
4. Very Less OS customizations / No Fingerprint Scanner (hopeful this gets better with iOS 16)
5. No Native Support for mkv and other video formats (you can download a third party though)
6. Native iOS Apps either require a subscription or are paid.
7. File Management is restricted / Not easy to download *multiple* files from Telegram / Drive",tldr spend money want better camera go pro promax like apple ecosystem get else stick android pro 1 good display brightness support dark mode control white tone nice 60hz refresh rate wont feel difference imho 2 good battery life iphone 13 series good battery life ensure supported charger use macbooks charger charge phone pretty quickly 3 best privacy control 4 camera portrait mode selfie camera livetext detection nice feature 5 fast processor ram management good 6 great resale value apple support con 1 screen size 61 le price segment 2 optical zoom 13 great want camera phone go pro pro max android alternative 3 third party app size huge gmail 300mb youtube 250 mb native app lock option 4 le o customizations fingerprint scanner hopeful get better io 16 5 native support mkv video format download third party though 6 native io apps either require subscription paid 7 file management restricted easy download multiple file telegram drive,1
53,53,VIKRAM BIHARI,"It�s first time that I purchased iPhone 13.No doubt it�s costly but a better quality of smartphone this is.I received iPhone in good condition ordered on Amazon after one day.phone is very good to hold ,to talk and it is not hitting as I felt almost all of smartphones of VIVO,Realme etc under Rs.20000/-overall it�s a good phone and I can purchase according to ur pocket size.",first time purchased iphone 13no doubt costly better quality smartphone isi received iphone good condition ordered amazon one dayphone good hold talk hitting felt almost smartphones vivorealme etc rs20000overall good phone purchase according ur pocket size,1
54,54,aambuj,"Gets all smartphone fundamentals right, jack of all trades, master of performance and battery life. I have been a 4 year OnePlus flagship user, and I can say that there is absolutely no comparison. The software in iPhone works very well with the hardware. And it pairs up with my laptop like nothing I ever seen. I can copy on my phone and paste on my laptop and vice versa. I can pick up call on my laptop instead of phone while I am working. Can transfer files/images directly to my laptop from phone and vice versa without any loss in quality. I am still exploring the benefits but so far now, it has been incredible.",get smartphone fundamental right jack trade master performance battery life 4 year oneplus flagship user say absolutely comparison software iphone work well hardware pair laptop like nothing ever seen copy phone paste laptop vice versa pick call laptop instead phone working transfer filesimages directly laptop phone vice versa without loss quality still exploring benefit far incredible,1
55,55,Divyani,"Have been using iPhone 11,
Upgrade Feels worth it skipping iPhone 12

Very snappy and responsive

Camera improvement is evident

Os is smooth as always

No complaints whatsoever

Perfect product",using iphone 11 upgrade feel worth skipping iphone 12 snappy responsive camera improvement evident o smooth always complaint whatsoever perfect product,1
56,56,FARDANI,Well except that the product delivered was manufactured way back in April and the box looked old from outside. I didn't find anything negative. The phone works normal till date. Amazing camera. Loved how it syncs automatically with the iPad and how they work together to make my life tad a bit easier.,well except product delivered manufactured way back april box looked old outside didnt find anything negative phone work normal till date amazing camera loved syncs automatically ipad work together make life tad bit easier,1
57,57,Amazon CUstomer,"This is my first IPhone
Phone looks and feels premium in hand, definitely you cannot compare with Chinese android phones.
Battery is sufficient for normal day to day use, if you use hotspot then it will be drained in 5 hours, I don�t play games so can�t comment.
Security, OS and hardware comprised intact kudos to apple for that, this is where iPhone stands out from other phones.
Volume and camera is amazing and you feel next level if you are switching from Chinese smart phones. Same Dolby and oled display feels premium in iphone.
Didn�t explore much on apple eco system, how ever I understood that you need to spend some extra bugs than usual if you want to be a premium user of apple eco system.
Nothing comes for free here, in fact you would loose the freedom of being an android user (less customisation and no side loaders)
In a good way, if you respect your privacy, security and getting premium services in the market you should choose iPhone.
New users are good to go for iPhone 13 with few extra grands with the current offers, you will get extra features that are missing in 12.
12 users forget about upgrading to 13 it will be a joke for you, it won�t worth it.",first iphone phone look feel premium hand definitely compare chinese android phone battery sufficient normal day day use use hotspot drained 5 hour dont play game cant comment security o hardware comprised intact kudos apple iphone stand phone volume camera amazing feel next level switching chinese smart phone dolby oled display feel premium iphone didnt explore much apple eco system ever understood need spend extra bug usual want premium user apple eco system nothing come free fact would loose freedom android user le customisation side loader good way respect privacy security getting premium service market choose iphone new user good go iphone 13 extra grand current offer get extra feature missing 12 12 user forget upgrading 13 joke wont worth,1
58,58,Amazon CUstomer,I don�t see 5G option under cellular mobile data,dont see 5g option cellular mobile data,0
59,59,Amazon CUstomer,"THERE IS HEATING EFFECT WHICH CHARGING AND EVEN WHILE USING WITHIN A WEEKS TIME, WHICH USUALLY DOESNT HAPPEN WHEN PURCHASED FROM I-STORE, BUT PURCHASING IT ONLINE IS AN ISSUE.",heating effect charging even using within week time usually doesnt happen purchased istore purchasing online issue,0
60,60,Amazon CUstomer,"Amazing phone just missing some of the free twiks and apps which are available in android

Rest its a beast phone",amazing phone missing free twiks apps available android rest beast phone,1
61,61,Amazon CUstomer,"Got delivery very quick within 48 hours and after using 1 day giving these reviews �.good and advanced phone , camera features has enhanced by apple as well as battery �.little bit heating problem I felt while using phone continuously�overall a good product to buy�",got delivery quick within 48 hour using 1 day giving review good advanced phone camera feature enhanced apple well battery little bit heating problem felt using phone continuouslyoverall good product buy,1
62,62,Amazon CUstomer,Good,good,1
63,63,Amazon CUstomer,"Dislikes-
Switching from Android to iOS is a pain. We need to use paid apps to transfer chats which I didn't use.

Likes-
1. Best Camera for photos and videos.
2. Super battery life.
3. Face ID - It is even better now as it supports Face Masks.
4. Memory management - You don't have to kill apps in background. Keep them running as it improves battery life.
5. User experience - Animations and social apps integration are nice.",dislike switching android io pain need use paid apps transfer chat didnt use like 1 best camera photo video 2 super battery life 3 face id even better support face mask 4 memory management dont kill apps background keep running improves battery life 5 user experience animation social apps integration nice,1
64,64,Amazon CUstomer,"Do not buy it if you have iPhone 12, there is no major difference. I�m little worried about battery life, it doesn�t look super promising.",buy iphone 12 major difference im little worried battery life doesnt look super promising,1
65,65,Amazon CUstomer,"Don�t buy iphone in Amazon ,you will receive a non apple charger cable and it is very difficult to claim a warranty and icare Amazon will be playing blame game.
I have experienced myself a problem where charger cable wasn�t working and icare said that cable is non apple product.",dont buy iphone amazon receive non apple charger cable difficult claim warranty icare amazon playing blame game experienced problem charger cable wasnt working icare said cable non apple product,-1
66,67,Amazon CUstomer,"Everything is good about this phone. The battery life is great. I get up to 8 hours of screen on time with heavy usage. The camera is great, nearly equivalent to dslr. Never slows down or doesn�t even look like it is 60Hz screen. But there is one thing that hurt me!?? No charger in box!?? this is criminal! ?? apple should give us a charger for free!",everything good phone battery life great get 8 hour screen time heavy usage camera great nearly equivalent dslr never slows doesnt even look like 60hz screen one thing hurt charger box criminal apple give u charger free,-1
67,68,Amazon CUstomer,"Delivered in time ! Was afraid of getting soap bars but got the real one luckily thanks amazon! Packaging could be better had a thought it wasn�t packaged safely.
Device:
1.Excellent camera
2.Updated ios
3.Speed is great
4.Flawless design
5. Battery oh my god apple nailed it you dont need to charge for the whole day believe me being a heavy user i can easily attain 8am-7pm
6.kudos to apple for this iphone 13.",delivered time afraid getting soap bar got real one luckily thanks amazon packaging could better thought wasnt packaged safely device 1excellent camera 2updated io 3speed great 4flawless design 5 battery oh god apple nailed dont need charge whole day believe heavy user easily attain 8am7pm 6kudos apple iphone 13,1
68,71,Amazon CUstomer,There is a Light source flares on camera image when you direct your phone camera on light source. This is creating green light spot on image. It is problem with the iPhone lens. I don�t recommend this phone if you are a fan of camera. But you can use Snapseed app to remove it.,light source flare camera image direct phone camera light source creating green light spot image problem iphone lens dont recommend phone fan camera use snapseed app remove,1
69,72,Amazon CUstomer,"I am android user. Converted to apple to show off(most will do). Now I used to it, display quality and touch feel awesome. This is my first flagship mobile. I hope i will use this phone for more years.

Yet still I don�t know much futures in my phone. If my other devices too apple products then would be great ecosystem",android user converted apple show offmost used display quality touch feel awesome first flagship mobile hope use phone year yet still dont know much future phone device apple product would great ecosystem,1
70,73,Amazon CUstomer,"IPHONE 13 IS AWESOME CAMERA BEST EVERYTHING IS BEST
BUT PLZ REDUCED THE IPHONE 13 PRO MAX PRICE UPTO 50 PERCENT SO THAT EVERY SINGLE CAN AFFORD TO BUY.
I ALSO WANTED TO PURCHASE THAT BUT PRO HAVE SO HIGH INCREASED PRICE NO ONE CAN IMAGINE TO PURCHASE
THANK YOU ??????",iphone 13 awesome camera best everything best plz reduced iphone 13 pro max price upto 50 percent every single afford buy also wanted purchase pro high increased price one imagine purchase thank,1
71,74,Amazon CUstomer,"Before time delivery and original product . Apple is beyond doubt the best phone maker have shifted from flagship samsung and liking the change . The fit n fineese of ghe product is amazing , battery backup is superb and airdrop is super fast like a blink . I short must go for iphn 13 pretty well balanced and hopefully will last for 5yrs as my ipad which is running solid since 2017. Make the shift from android as apple ios is buttery smooth.",time delivery original product apple beyond doubt best phone maker shifted flagship samsung liking change fit n fineese ghe product amazing battery backup superb airdrop super fast like blink short must go iphn 13 pretty well balanced hopefully last 5yrs ipad running solid since 2017 make shift android apple io buttery smooth,1
72,75,Amazon CUstomer,Beast for a reason. There are some issues and limitations you fell when move from android apart from it it�s fine.,beast reason issue limitation fell move android apart fine,1
73,76,Amazon CUstomer,Wonderfully Phone with best battery life and face reading.,wonderfully phone best battery life face reading,1
74,77,Amazon CUstomer,This iPhone was very cool. Am facing a little bit heat issues.although the performance is way too better than any other.,iphone cool facing little bit heat issuesalthough performance way better,1
75,78,Amazon CUstomer,Battery backup is not good but recharge speed is very fast so you will hardly face battery issues. Camera quality is best.,battery backup good recharge speed fast hardly face battery issue camera quality best,1
76,79,Amazon CUstomer,"If you�re an android user and not sure whether to get an S series phone from samsung or an iphone, eyes closed choose apple.
IOS is stable and easy.
This iPhone is built like a beast,at any price less than 68k its a steal deal.",youre android user sure whether get series phone samsung iphone eye closed choose apple io stable easy iphone built like beastat price le 68k steal deal,1
77,80,Amazon CUstomer,good,good,1
78,81,Amazon CUstomer,"I was not sure whether to buy from Amazon or not as I was more willing to buy it directly from Apple online store. But because of 11k discount, I ordered it from Amazon and the product received is good and I have verified the warranty on Apple website using serial number.",sure whether buy amazon willing buy directly apple online store 11k discount ordered amazon product received good verified warranty apple website using serial number,1
79,82,Amazon CUstomer,Battery life is one of best thing apple has done with this. I am using macbook from last one year and it has complete one day battery life and same thing i have found in iphone 13 as well. Camera quality is really nice.,battery life one best thing apple done using macbook last one year complete one day battery life thing found iphone 13 well camera quality really nice,1
80,83,Amazon CUstomer,I switche to oneplus 5 to iPhone 13 I really enjoyed photo Quality .but it's not be Friendly... like Android... still i was not Adjust IOS,switche oneplus 5 iphone 13 really enjoyed photo quality friendly like android still adjust io,-1
81,84,Amazon CUstomer,Camera quality is too worst. Don't buy this if you want good photos. We can get this quality pictures with 5000 rupees android phone. I am totally disappointed because I expected range of iPhone camera quality but not this.. Waste of money. :-(,camera quality worst dont buy want good photo get quality picture 5000 rupee android phone totally disappointed expected range iphone camera quality waste money,-1
82,85,Amazon CUstomer,Trademark as all say!,trademark say,0
83,86,Amazon CUstomer,"very nice.
over heating while charging",nice heating charging,1
84,87,Amazon CUstomer,"If you want to switch android to iOS, so take iPhone 13 and also carry your old android phone because face many problems in iPhones, not allowed double apps, Two physical sim,etc",want switch android io take iphone 13 also carry old android phone face many problem iphones allowed double apps two physical simetc,-1
85,88,Amazon CUstomer,"Overall great experience except for the low refreshing rate.
Got the phone at 69,900.00 and unfortunately, the price decreased by 4000(Amazone Sale) after 1 day. Connected with the Amazon support team, they are unable to provide any discounts/offers on the product.",overall great experience except low refreshing rate got phone 6990000 unfortunately price decreased 4000amazone sale 1 day connected amazon support team unable provide discountsoffers product,1
86,89,Amazon CUstomer,Very bad product..iPhone is a brand but it is only for iPhone itself..data browsing is very slow ..Ian using since last 1month the data browsing is very slow and Ian irritating to using mobile ..Ian searching any website it opens after 10 seconds..this is very bad and worst performance for iPhone,bad productiphone brand iphone itselfdata browsing slow ian using since last 1month data browsing slow ian irritating using mobile ian searching website open 10 secondsthis bad worst performance iphone,-1
87,90,Amazon CUstomer,"Battery drains fast , I mean battery drains from 100% to 10% in just 3 hours , I can not believe this from apple. I exceeded my return policy dates so I can not return product.",battery drain fast mean battery drain 100 10 3 hour believe apple exceeded return policy date return product,0
88,91,Amazon CUstomer,Amazing experience and believe me by switching from android will give confidence in day to day life too.,amazing experience believe switching android give confidence day day life,1
89,92,Amazon CUstomer,I don�t know about others but I loved this phone. It�s really faster processor and upgraded camera sensors and lens. I have used Android and shifted back to Iphone13. Battery life simply superb. I highly recommend it if you are an iPhone lover. Sound quality is superior. Photo quality is the best. Screen is super bright.,dont know others loved phone really faster processor upgraded camera sensor lens used android shifted back iphone13 battery life simply superb highly recommend iphone lover sound quality superior photo quality best screen super bright,1
90,93,Amazon CUstomer,Okayish camera,okayish camera,0
91,94,Amazon CUstomer,Good deal and a value for money product. Happy with the performance.,good deal value money product happy performance,1
92,95,Amazon CUstomer,"This is first time i am using iPhone. Initial few days i was missing some feature of my old android phone but now i am loving the iPhone 13. Everything you hear on youtube about iPhone 13 is true, it�s a good phone buy it if you want it.",first time using iphone initial day missing feature old android phone loving iphone 13 everything hear youtube iphone 13 true good phone buy want,1
93,96,Amazon CUstomer,Phone�s a little heavy and rest of the things are good. Got it for a pretty good deal.,phone little heavy rest thing good got pretty good deal,1
94,97,Amazon CUstomer,On a serious note I am in love with this phone it�s my first I phone and probably the best one out there ??Definitely worth the amount ..I got myself a midnight get yourself one too..,serious note love phone first phone probably best one definitely worth amount got midnight get one,1
95,98,Amazon CUstomer,to know about the iPhone delivery by amazon. there was no issue with me. it was seal packed. also the iphone is original and running fine. discount offered was good.,know iphone delivery amazon issue seal packed also iphone original running fine discount offered good,1
